day,date,pillar,hook,length_sec,posted_time,views_24h,views_7d,retention_3s_pct,avg_watch_pct,likes,comments,shares,saves,follows_gained,submissions_gained,affiliate_clicks,orders,notes
1,,R,"This is the only photo that exists of them together.",65,,,,,,,,,,,,,,
2,,R,"Everyone said this photo was unfixable.",60,,,,,,,,,,,,,,
3,,H,"Vancouver 1943. You've never seen it like this.",25,,,,,,,,,,,,,,
4,,R,"The 70s weren't beige. Your photos just gave up.",60,,,,,,,,,,,,,,
5,,R,"Watch her face come back.",60,,,,,,,,,,,,,,
6,,H,"He was 19 here. This is what he actually looked like.",30,,,,,,,,,,,,,,
7,,R,"Restoring one photo from the comments every day.",55,,,,,,,,,,,,,,
8,,C,"Day one of restoring your photos.",60,,,,,,,,,,,,,,
9,,R,"Someone tore this in half forty years ago. Watch.",65,,,,,,,,,,,,,,
10,,C,"You almost scrolled past your own grandmother.",55,,,,,,,,,,,,,,
